Code	Category	f1 delta
-1	nan	0.033935379853599665
0	air	6.432546699354502e-05
1	animal	0.0007374867781285294
10	food	0.0
11	fresh water	9.35015897666272e-05
12	fungus	1.7639204129712982e-05
13	hot spring	0.0006720941040305184
14	human blood	0.0006971277703747628
15	human bone	0.0
16	human brain	2.183420452974566e-05
17	human ear	3.819633501905839e-06
18	human eye	1.1904146262495252e-05
19	human gut	7.520987285493386e-06
2	biofilm	3.2761491579817725e-05
20	human liver	1.3272037661583858e-05
21	human mouth	0.0
22	human other	-1.7693102955629314e-05
23	human respiratory	7.996183887734598e-07
24	human skin	1.1409668942627404e-06
25	human urogenital	-0.00015017077311033772
26	human vagina	0.00015473649715521537
27	human wound	-0.0005461501293637233
28	hypersaline lake	5.536405660332144e-06
29	marine	0.0010785644307061207
3	biogas material	8.546076906514044e-06
30	marine benthic	1.4446435543692682e-05
31	marine coastal	8.091668668870622e-05
32	marine deep	-0.0009145899133791713
33	marine surface	3.682571483178826e-05
34	microbial mat	1.6607796740723824e-05
35	mine	-0.0009233540550186645
36	mine drainage	2.3215330304277026e-05
37	mud	-8.980296200965243e-06
38	oil	0.0001275145254780105
39	other water	7.520987285493386e-06
4	bone	-2.9560188969719736e-05
40	plant	0.0023242198378373644
41	rock	0.00011991429378505752
42	saltern	-0.0008880835877794341
43	sand	-0.0009274001748904789
44	sediment	0.00087703052595315
45	sludge	5.225856213941782e-05
46	soil	-0.0004820613704406146
47	solid environmental material	-0.0008286420400528405
48	spring	-7.746458517740584e-06
49	waste water	7.57447730696803e-07
5	built environment	7.206223998397487e-05
6	chemical vessel	-0.0008993606218555897
7	clay	
8	coal mine	-1.0246960324145071e-06
9	contaminated water	8.546076906514044e-06
